QueryId,Iteration,DocId,Relevance
Q01,1,S00038,1
Q01,1,C00097,1
Q01,1,C00580,1
Q01,1,S00923,1
Q01,1,C00035,1
Q01,1,S00746,1
Q01,1,C00599,1
Q01,1,S00379,1
Q01,1,C00030,1
Q01,1,C00524,1
Q01,1,S00246,1
Q01,1,S00371,1
Q01,1,S00294,1
Q01,1,C00873,1
Q01,1,C00650,1
Q01,1,S00575,1
Q01,1,S00742,1
Q01,1,S00970,1
Q01,1,M00079,1
Q01,1,C00777,1
Q02,1,C00730,1
Q02,1,C00010,1
Q02,1,C00255,1
Q02,1,C00392,1
Q02,1,C00808,1
Q02,1,C00560,1
Q02,1,C00409,1
Q02,1,C00674,1
Q02,1,C00185,1
Q02,1,C00462,1
Q02,1,C00786,1
Q02,1,C00802,1
Q02,1,C00484,1
Q02,1,C00804,1
Q02,1,C00920,1
Q02,1,C00442,1
Q02,1,C00441,1
Q02,1,C00128,1
Q02,1,C00523,1
Q02,1,C00860,1
Q03,1,C00713,1
Q03,1,S00186,1
Q03,1,C00050,1
Q03,1,C00499,1
Q03,1,C00228,1
Q03,1,C00436,1
Q03,1,C00525,1
Q03,1,C00679,1
Q03,1,C00244,1
Q03,1,C00743,1
Q03,1,C00053,1
Q03,1,C00820,1
Q03,1,C00769,1
Q03,1,C00133,1
Q03,1,C00396,1
Q03,1,D00544,1
Q03,1,C00677,1
Q03,1,C00018,1
Q03,1,C00959,1
Q03,1,C00688,1
Q04,1,C00414,1
Q04,1,C00242,1
Q04,1,C00147,1
Q04,1,S00286,1
Q04,1,C00294,1
Q04,1,C00331,1
Q04,1,S00445,1
Q04,1,C00018,1
Q04,1,C00095,1
Q04,1,C00485,1
Q04,1,C00042,1
Q04,1,C00059,1
Q04,1,S00499,1
Q04,1,C00556,1
Q04,1,S00662,1
Q04,1,C00679,1
Q04,1,C00336,1
Q04,1,C00163,1
Q04,1,S00153,1
Q04,1,C00286,1
Q05,1,C00133,1
Q05,1,C00053,1
Q05,1,C00050,1
Q05,1,C00818,1
Q05,1,C00242,1
Q05,1,C00959,1
Q05,1,S00186,1
Q05,1,C00713,1
Q05,1,C00499,1
Q05,1,C00267,1
Q05,1,C00820,1
Q05,1,C00932,1
Q05,1,C00525,1
Q05,1,C00743,1
Q05,1,C00361,1
Q05,1,C00609,1
Q05,1,C00018,1
Q05,1,C00688,1
Q05,1,C00228,1
Q05,1,C00584,1
Q06,1,C00016,1
Q06,1,C00611,1
Q06,1,S00222,1
Q06,1,C00300,1
Q06,1,C00460,1
Q06,1,C00396,1
Q06,1,R00055,1
Q06,1,C00508,1
Q06,1,C00633,1
Q06,1,L00109,1
Q06,1,C00200,1
Q06,1,L00056,1
Q06,1,L00022,1
Q06,1,L00058,1
Q06,1,L00397,1
Q06,1,S00049,1
Q06,1,L00283,1
Q06,1,C00936,1
Q06,1,L00062,1
Q06,1,C00051,1
Q07,1,C00330,1
Q07,1,C00400,1
Q07,1,C00703,1
Q07,1,C00199,1
Q07,1,C00155,1
Q07,1,M00058,1
Q07,1,S00188,1
Q07,1,S00029,1
Q07,1,C00061,1
Q07,1,M00071,1
Q07,1,C00095,1
Q07,1,S00282,1
Q07,1,C00212,1
Q07,1,S00703,1
Q07,1,S00483,1
Q07,1,C00731,1
Q07,1,D00539,1
Q07,1,S00040,1
Q07,1,S00139,1
Q07,1,C00546,1
Q08,1,C00412,1
Q08,1,L00144,1
Q08,1,C00491,1
Q08,1,L00150,1
Q08,1,C00970,1
Q08,1,C00401,1
Q08,1,C00116,1
